original_source_line,new_release_line,multiplicity,permutation_source_to_release
5326,1810,5,0;1;3;2;4
5327,13939,5,0;1;2;3;4
5328,6555,5,0;4;3;2;1
5329,6857,5,0;4;2;3;1
5330,9138,5,0;4;3;2;1
5331,14216,5,0;1;4;2;3
5332,4172,5,0;1;3;2;4
5333,2891,5,0;1;3;4;2
5334,7154,5,0;4;3;2;1
5335,6565,5,0;2;3;4;1
5336,6515,5,0;4;3;2;1
5337,10297,5,0;4;2;1;3
5338,10535,5,0;2;4;3;1
5339,10352,5,0;4;3;1;2
5340,996,5,0;1;3;2;4
5341,9362,5,0;2;3;1;4
5342,1003,5,0;1;2;4;3
5343,1006,5,0;1;3;2;4
5344,12909,5,0;4;1;3;2
5345,7008,5,0;4;1;2;3
5346,10534,5,0;2;4;3;1
5347,8960,5,0;3;2;4;1
5348,12297,5,0;1;3;2;4
5349,11139,5,0;4;2;1;3
5350,10533,5,0;4;2;3;1
5351,8801,5,0;3;2;4;1
5352,6945,5,0;4;3;2;1
5353,6546,5,0;1;2;4;3
5354,8976,5,0;3;1;4;2
5355,6561,5,0;4;2;3;1
5356,8809,5,0;3;4;1;2
5357,12265,5,0;4;1;2;3
5358,13871,5,0;3;1;4;2
5359,10311,5,0;2;3;1;4
5360,11038,5,0;4;1;2;3
5361,9371,5,0;2;3;4;1
5362,8057,5,0;1;4;2;3
5363,111,5,0;1;2;3;4
5364,112,5,0;1;2;3;4
5365,123,5,0;1;2;3;4
5366,3,5,0;1;2;3;4
5367,8,5,0;1;2;3;4
5368,68,5,0;1;2;3;4
5369,319,5,0;1;2;3;4
5370,409,5,0;1;2;3;4
5371,512,5,0;2;1;3;4
5372,327,5,0;2;1;3;4
5373,454,5,0;2;1;3;4
5374,117,5,0;1;2;3;4
5375,121,5,0;1;2;3;4
5376,511,5,0;2;1;3;4
5377,538,5,0;2;1;3;4
5378,119,5,0;1;2;3;4
5379,47,5,0;1;2;3;4
6004,13571,6,0;1;2;3;4
6005,13444,6,0;2;3;1;4
6006,11720,6,0;3;4;2;1
6007,11923,6,0;1;4;3;2
6008,11695,6,0;3;2;4;1
6009,15442,6,0;1;2;3;4
6010,15404,6,0;3;2;4;1
6011,15515,6,0;1;2;3;4
6012,16010,6,0;1;3;4;2
6013,16007,6,0;1;4;2;3
6014,14040,6,0;4;1;3;2
6015,16560,6,0;1;2;4;3
6016,8265,6,0;4;2;3;1
6017,16822,6,0;3;1;2;4
6018,18179,6,0;3;1;2;4
6019,16881,6,0;1;2;3;4
6020,16531,6,0;2;1;4;3
6021,17983,6,0;1;2;3;4
6022,15179,6,0;1;2;4;3
6023,12649,6,0;4;1;3;2
6024,8249,6,0;3;4;2;1
6025,18136,6,0;4;1;2;3
6026,14383,6,0;4;3;1;2
6027,18417,6,0;1;2;4;3
6028,11615,6,0;2;3;1;4
6029,11692,6,0;2;1;3;4
6030,16554,6,0;4;3;2;1
6031,15441,6,0;1;2;3;4
6032,13775,6,0;3;2;1;4
6033,16555,6,0;2;1;4;3
6034,17029,6,0;1;3;4;2
6035,17994,6,0;1;2;3;4
6036,12643,6,0;4;3;1;2
6037,9979,6,0;1;4;3;2
6038,12978,6,0;1;3;4;2
6039,7064,6,0;3;4;1;2
6040,12194,6,0;1;4;2;3
6041,14250,6,0;4;1;3;2
6042,10711,6,0;4;3;1;2
6043,14208,6,0;4;2;3;1
6044,12642,6,0;3;1;4;2
6045,16260,6,0;1;3;4;2
6046,12211,6,0;4;3;1;2
6047,10759,6,0;4;2;1;3
6048,12132,6,0;3;2;4;1
6049,12460,6,0;4;2;3;1
6050,17801,6,0;1;2;3;4
6051,12383,6,0;3;1;4;2
6052,17185,6,0;1;4;3;2
6053,17064,6,0;4;1;3;2
6054,16316,6,0;4;1;3;2
6055,11485,6,0;4;3;1;2
6056,15911,6,0;3;1;4;2
6057,12709,6,0;4;3;1;2
6058,14198,6,0;4;3;2;1
6059,8044,6,0;4;3;2;1
6060,11263,6,0;4;3;2;1
6061,12131,6,0;4;2;3;1
6062,17257,6,0;4;2;3;1
6063,9538,6,0;3;2;4;1
6064,17806,6,0;4;2;3;1
6065,14817,6,0;2;1;4;3
6066,7514,6,0;3;4;2;1
6067,9077,6,0;4;3;2;1
6068,15859,6,0;1;2;3;4
6069,15872,6,0;1;2;4;3
6070,9557,6,0;3;4;1;2
6071,14755,6,0;3;4;1;2
6072,7392,6,0;3;2;4;1
6073,17368,6,0;1;4;3;2
6074,9587,6,0;4;3;2;1
6075,9092,6,0;4;2;3;1
6076,17072,6,0;1;4;3;2
6077,17614,6,0;4;1;2;3
6078,12208,6,0;2;4;1;3
6079,14673,6,0;1;4;3;2
6080,12975,6,0;3;4;2;1
6081,13894,6,0;4;2;3;1
6082,17142,6,0;3;4;1;2
6083,16072,6,0;4;1;3;2
6084,16193,6,0;1;4;3;2
6085,10426,6,0;4;3;2;1
6086,17141,6,0;3;4;1;2
6087,14304,6,0;4;1;3;2
6088,14305,6,0;4;1;3;2
6089,7981,6,0;4;2;3;1
6090,11178,6,0;4;2;3;1
6091,15991,6,0;3;1;2;4
6092,14340,6,0;3;4;1;2
6093,6638,6,0;4;2;3;1
6094,9586,6,0;4;3;2;1
6095,14219,6,0;3;1;4;2
6096,9583,6,0;3;4;1;2
6097,9433,6,0;4;2;3;1
6098,9700,6,0;4;3;2;1
6099,12097,6,0;4;3;2;1
6100,9066,6,0;4;3;2;1
6101,9530,6,0;4;3;2;1
6102,1865,6,0;1;2;4;3
6103,837,6,0;1;2;4;3
6104,838,6,0;1;2;4;3
6105,1307,6,0;1;2;4;3
6106,1710,6,0;1;2;4;3
6107,836,6,0;1;3;2;4
6108,1306,6,0;1;3;2;4
6109,1868,6,0;1;3;2;4
6110,1709,6,0;1;3;2;4
6111,1266,6,0;1;3;2;4
6112,813,6,0;1;3;2;4
6113,2025,6,0;1;3;2;4
6114,2867,6,0;1;2;3;4
6115,4281,6,0;1;2;3;4
6116,4288,6,0;1;2;3;4
6117,4667,6,0;1;2;3;4
6118,4352,6,0;1;4;3;2
6119,4723,6,0;1;2;3;4
6120,4585,6,0;1;4;3;2
6121,3076,6,0;1;4;3;2
6122,3003,6,0;1;3;4;2
6123,3071,6,0;1;3;4;2
6124,4331,6,0;1;4;3;2
6125,5097,6,0;1;2;3;4
6126,4671,6,0;1;4;3;2
6127,4804,6,0;1;3;2;4
6128,4586,6,0;1;4;2;3
6129,4654,6,0;1;4;3;2
6130,4286,6,0;1;4;3;2
6131,4636,6,0;1;3;2;4
6132,4354,6,0;1;3;4;2
6133,4735,6,0;1;2;4;3
6134,5364,6,0;1;4;3;2
6135,5123,6,0;1;3;4;2
6136,2990,6,0;1;3;4;2
6137,2984,6,0;1;4;3;2
6138,11098,6,0;1;2;3;4
6139,12153,6,0;1;3;2;4
6140,14801,6,0;3;1;2;4
6141,12452,6,0;2;4;3;1
6142,10560,6,0;2;4;3;1
6143,16036,6,0;4;3;1;2
6144,17136,6,0;1;2;4;3
6145,12152,6,0;2;4;1;3
6146,16972,6,0;1;4;3;2
6147,17153,6,0;3;1;4;2
6148,12856,6,0;2;3;4;1
6149,6760,6,0;4;3;2;1
6150,6841,6,0;4;2;3;1
6151,816,6,0;1;2;4;3
6152,1489,6,0;1;2;4;3
6153,2000,6,0;1;2;4;3
6154,3417,6,0;1;2;3;4
6155,3451,6,0;1;2;3;4
6156,3453,6,0;1;2;3;4
6157,3035,6,0;1;3;4;2
6158,3420,6,0;1;2;4;3
6159,3438,6,0;1;2;4;3
6160,3457,6,0;1;2;4;3
6161,3468,6,0;1;2;3;4
6162,3469,6,0;1;2;3;4
6163,3421,6,0;1;2;4;3
6164,3439,6,0;1;2;4;3
6165,3458,6,0;1;2;4;3
6166,3490,6,0;1;2;3;4
6167,3493,6,0;1;2;4;3
6168,3807,6,0;1;3;4;2
6169,3955,6,0;1;3;2;4
6170,3916,6,0;1;3;2;4
6171,3892,6,0;1;2;4;3
6172,3838,6,0;1;4;3;2
6173,3802,6,0;1;3;4;2
6174,3891,6,0;1;4;3;2
6175,3688,6,0;1;4;3;2
6176,12121,6,0;2;1;3;4
6177,3355,6,0;1;2;3;4
6178,3385,6,0;1;2;4;3
6179,3387,6,0;1;2;4;3
6180,3702,6,0;1;4;3;2
6181,3676,6,0;1;4;3;2
6182,9270,6,0;4;2;3;1
6183,4119,6,0;1;2;4;3
6184,4527,6,0;1;2;3;4
6185,4530,6,0;1;2;3;4
6186,4204,6,0;1;3;4;2
6187,4779,6,0;1;3;2;4
6188,3138,6,0;1;4;3;2
6189,3084,6,0;1;3;4;2
6190,4982,6,0;1;4;2;3
6191,3091,6,0;1;4;3;2
6192,2932,6,0;1;4;3;2
6193,4666,6,0;1;2;4;3
6194,2953,6,0;1;4;3;2
6195,4720,6,0;1;4;3;2
6196,4186,6,0;1;3;4;2
6197,7253,6,0;2;1;3;4
6198,12094,6,0;2;4;1;3
6199,14789,6,0;1;3;4;2
6200,14711,6,0;1;4;2;3
6201,12941,6,0;4;1;2;3
6202,15753,6,0;1;4;2;3
6203,14014,6,0;4;1;2;3
6204,6685,6,0;4;3;2;1
6205,7100,6,0;3;4;2;1
6206,12916,6,0;2;4;3;1
6207,10321,6,0;3;2;4;1
6208,1050,6,0;1;3;2;4
6209,3658,6,0;1;2;3;4
6210,3092,6,0;1;3;2;4
6211,3758,6,0;1;3;4;2
6212,3931,6,0;1;4;3;2
6213,3837,6,0;1;4;3;2
6214,10419,6,0;4;3;1;2
6215,11306,6,0;3;1;4;2
6216,7006,6,0;3;4;2;1
6217,9007,6,0;3;2;4;1
6218,14279,6,0;4;1;3;2
6219,10456,6,0;4;1;3;2
6220,3386,6,0;1;2;4;3
6221,726,6,0;1;2;4;3
6222,1272,6,0;1;2;4;3
6223,1989,6,0;1;2;4;3
6224,1999,6,0;1;2;4;3
6225,1488,6,0;1;3;2;4
6226,835,6,0;1;3;2;4
6227,826,6,0;1;3;2;4
6228,1690,6,0;1;3;2;4
6229,1504,6,0;1;3;2;4
6230,1305,6,0;1;3;2;4
6231,2815,6,0;1;2;4;3
6232,11272,6,0;3;2;1;4
6233,10662,6,0;4;1;2;3
6234,14674,6,0;1;2;4;3
6235,10623,6,0;4;3;2;1
6236,15848,6,0;1;4;3;2
6237,10672,6,0;3;4;2;1
6238,11242,6,0;4;1;2;3
6239,10620,6,0;3;4;1;2
6240,6634,6,0;4;2;3;1
6241,815,6,0;1;2;4;3
6242,3854,6,0;1;4;3;2
6243,9108,6,0;4;3;1;2
6244,13877,6,0;3;2;4;1
6245,9425,6,0;4;3;2;1
6246,9000,6,0;2;4;3;1
6247,3670,6,0;1;4;2;3
6248,8952,6,0;3;4;2;1
6249,3170,6,0;1;3;4;2
6250,2828,6,0;1;3;4;2
6251,6525,6,0;2;4;3;1
6252,6605,6,0;4;3;1;2
6253,10348,6,0;2;4;3;1
6254,15771,6,0;4;1;3;2
6255,12114,6,0;3;1;4;2
6256,3661,6,0;1;4;3;2
6257,3921,6,0;1;4;3;2
6258,3662,6,0;1;4;3;2
6259,9107,6,0;4;3;2;1
6260,8999,6,0;4;3;2;1
6261,10314,6,0;4;2;3;1
6262,9416,6,0;4;2;3;1
6263,9182,6,0;4;1;3;2
6264,9059,6,0;4;3;2;1
6265,1218,6,0;1;2;4;3
6266,761,6,0;1;2;4;3
6267,4169,6,0;1;3;4;2
6268,14217,6,0;1;3;4;2
6269,12177,6,0;4;1;3;2
6270,7843,6,0;4;3;1;2
6271,1431,6,0;1;2;4;3
6272,1225,6,0;1;2;4;3
6273,768,6,0;1;2;4;3
6274,767,6,0;1;3;2;4
6275,1231,6,0;1;3;2;4
6276,1440,6,0;1;3;2;4
6277,1638,6,0;1;3;2;4
6278,1813,6,0;1;3;2;4
6279,1961,6,0;1;3;2;4
6280,3145,6,0;1;4;3;2
6281,7320,6,0;1;4;3;2
6282,15735,6,0;1;2;3;4
6283,15844,6,0;1;2;3;4
6284,15768,6,0;1;4;3;2
6285,6870,6,0;4;2;3;1
6286,6506,6,0;4;3;2;1
6287,7846,6,0;4;3;2;1
6288,10317,6,0;3;2;4;1
6289,3654,6,0;1;4;3;2
6290,8859,6,0;3;2;4;1
6291,15857,6,0;1;2;4;3
6292,12158,6,0;3;1;4;2
6293,6983,6,0;4;2;3;1
6294,6568,6,0;4;3;2;1
6295,1000,6,0;1;2;4;3
6296,6516,6,0;4;3;2;1
6297,1007,6,0;1;2;4;3
6298,1010,6,0;1;3;2;4
6299,8796,6,0;4;3;1;2
6300,12900,6,0;4;1;2;3
6301,14729,6,0;4;1;3;2
6302,6520,6,0;3;4;2;1
6303,8944,6,0;4;3;1;2
6304,6969,6,0;1;2;4;3
6305,10479,6,0;3;2;4;1
